sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,rings,target
2,0.671,0.58,0.142,0.3912,0.23,0.0737,0.1259,13,2
1,0.109,0.081,0.02,1.8974,0.6017,0.2914,0.7021,1,0
2,0.673,0.56,0.123,2.7672,0.8625,0.3099,0.4263,15,2
1,0.207,0.161,0.032,1.5043,0.8968,0.371,0.2389,5,0
1,0.456,0.353,0.09,0.6066,0.2993,0.1355,0.135,10,1
2,0.673,0.564,0.108,1.7678,0.9097,0.5207,0.2665,11,1
1,0.263,0.204,0.076,1.4505,0.4771,0.3516,0.3019,5,0
2,0.257,0.198,0.07,1.5076,0.4839,0.4321,0.4428,9,1
2,0.373,0.323,0.08,1.3522,0.4707,0.4034,0.4649,5,0
0,0.737,0.531,0.146,1.9046,0.8155,0.3537,0.363,16,2
2,0.075,0.063,0.013,1.6172,0.5386,0.2103,0.2984,1,0
0,0.742,0.556,0.193,2.7893,1.2103,0.3882,0.9314,16,2
2,0.189,0.133,0.071,2.3342,1.0935,0.3821,0.5002,3,0
2,0.808,0.593,0.247,0.7495,0.2249,0.1512,0.259,19,2
0,0.782,0.642,0.253,2.0515,0.6858,0.2554,0.8165,16,2
0,0.441,0.371,0.154,0.6072,0.2505,0.0974,0.2392,11,1
2,0.454,0.32,0.093,2.2113,0.6988,0.3573,0.6607,13,2
1,0.431,0.305,0.051,0.4187,0.1424,0.0422,0.089,11,1
0,0.545,0.48,0.156,1.3393,0.4949,0.2288,0.1602,12,2
1,0.142,0.101,0.022,2.2347,0.9584,0.2754,0.7183,5,0
1,0.099,0.087,0.027,0.793,0.408,0.1475,0.312,3,0
1,0.118,0.088,0.038,2.366,0.804,0.3296,0.2849,1,0
0,0.404,0.343,0.135,1.8211,0.9495,0.4815,0.1855,6,0
1,0.279,0.213,0.053,1.1246,0.6259,0.1306,0.3931,7,0
0,0.535,0.466,0.136,1.1977,0.5934,0.3271,0.1565,9,1
1,0.809,0.68,0.232,2.617,0.8194,0.5655,0.3258,15,2
2,0.361,0.282,0.125,0.617,0.2667,0.1183,0.2302,7,0
2,0.5,0.358,0.164,1.9601,0.9762,0.4115,0.2428,7,0
0,0.383,0.324,0.152,1.9994,1.1868,0.3503,0.2683,6,0
2,0.702,0.578,0.072,2.607,1.5265,0.3272,0.7062,13,2
2,0.743,0.521,0.172,2.016,0.8441,0.5104,0.6593,20,2
1,0.724,0.508,0.128,1.6525,0.8011,0.4719,0.3633,16,2
0,0.796,0.686,0.108,2.5507,1.4469,0.7397,0.5769,15,2
1,0.095,0.071,0.035,2.3435,1.2873,0.5487,0.6791,1,0
1,0.696,0.576,0.278,2.0262,0.8993,0.3689,0.5098,9,1
1,0.631,0.499,0.097,0.094,0.0356,0.0184,0.0099,10,1
1,0.244,0.213,0.027,1.0568,0.3605,0.2445,0.1417,2,0
1,0.783,0.692,0.143,1.7865,0.7975,0.4727,0.4904,14,2
1,0.185,0.166,0.065,1.4768,0.7633,0.2583,0.4993,4,0
1,0.578,0.422,0.109,0.9038,0.5341,0.2561,0.2973,11,1
0,0.241,0.21,0.028,0.4099,0.2289,0.0676,0.132,3,0
2,0.394,0.297,0.046,1.5637,0.5649,0.3224,0.5182,8,0
1,0.607,0.497,0.139,0.8094,0.4176,0.2366,0.0917,9,1
1,0.492,0.394,0.187,0.66,0.2552,0.1898,0.2432,11,1
1,0.391,0.275,0.073,1.1287,0.57,0.2699,0.414,9,1
1,0.316,0.28,0.072,2.2202,1.1095,0.3661,0.5763,7,0
1,0.696,0.498,0.091,1.3797,0.5267,0.1984,0.2409,16,2
1,0.181,0.152,0.045,0.6134,0.2272,0.0712,0.1703,1,0
2,0.393,0.337,0.121,0.3321,0.11,0.0803,0.0888,8,0
2,0.744,0.639,0.135,1.4111,0.4447,0.2832,0.2355,13,2
1,0.701,0.51,0.132,2.2453,1.2518,0.4815,0.6308,12,2
2,0.372,0.294,0.131,1.8456,0.5813,0.3589,0.626,5,0
0,0.64,0.554,0.066,0.6576,0.2148,0.1293,0.2248,18,2
1,0.684,0.52,0.199,1.2353,0.4591,0.2647,0.1457,16,2
0,0.733,0.582,0.16,2.4172,1.3689,0.6837,0.3847,18,2
0,0.478,0.361,0.091,0.5037,0.2014,0.0533,0.1513,10,1
1,0.226,0.179,0.067,1.5046,0.538,0.3917,0.5386,3,0
2,0.264,0.232,0.093,1.008,0.5188,0.1795,0.2584,7,0
0,0.294,0.233,0.079,0.3527,0.1396,0.0878,0.1101,11,1
1,0.514,0.417,0.056,0.1429,0.0572,0.0414,0.0152,11,1
0,0.099,0.077,0.024,1.5718,0.82,0.2535,0.4441,2,0
0,0.546,0.432,0.13,0.0606,0.0228,0.0071,0.0235,11,1
0,0.345,0.243,0.091,0.2941,0.1674,0.0431,0.0877,9,1
0,0.293,0.222,0.088,0.9835,0.4607,0.142,0.3705,6,0
2,0.726,0.572,0.077,0.1249,0.0576,0.031,0.0337,14,2
0,0.415,0.343,0.104,1.1329,0.4299,0.1273,0.3999,7,0
0,0.145,0.115,0.04,0.3702,0.2038,0.0408,0.0508,4,0
0,0.687,0.527,0.139,0.99,0.4671,0.2363,0.1357,11,1
2,0.11,0.086,0.033,2.2362,0.7752,0.4726,0.3042,1,0
0,0.613,0.459,0.103,1.7709,0.6409,0.3251,0.4368,12,2
0,0.648,0.573,0.126,1.2598,0.5549,0.2709,0.2508,11,1
2,0.336,0.27,0.131,0.2613,0.1395,0.0646,0.0825,7,0
2,0.685,0.481,0.14,1.7505,1.0184,0.2113,0.6491,16,2
2,0.457,0.322,0.093,0.4643,0.2317,0.0978,0.1327,12,2
0,0.418,0.374,0.116,0.2183,0.0986,0.0578,0.0358,8,0
2,0.109,0.081,0.043,1.8771,0.7043,0.3238,0.7119,1,0
2,0.29,0.25,0.115,2.5777,1.2936,0.6511,0.666,5,0
0,0.764,0.544,0.209,1.3027,0.7747,0.3505,0.4116,17,2
2,0.365,0.323,0.037,0.1178,0.0522,0.0311,0.0433,6,0
0,0.48,0.42,0.178,2.488,0.8674,0.5724,0.9876,8,0
1,0.469,0.382,0.127,0.1911,0.0633,0.0465,0.0481,10,1
2,0.512,0.359,0.107,2.4519,0.9336,0.6315,0.8396,11,1
1,0.12,0.09,0.042,1.1085,0.5219,0.2735,0.2994,3,0
0,0.343,0.268,0.075,1.0339,0.6038,0.1968,0.2543,7,0
2,0.61,0.483,0.067,1.5349,0.5982,0.2023,0.4011,11,1
0,0.223,0.169,0.077,2.7048,1.0592,0.438,0.6634,5,0
1,0.226,0.16,0.06,2.54,1.1287,0.3593,0.5748,1,0
0,0.082,0.067,0.017,1.3302,0.7656,0.2292,0.4218,5,0
2,0.399,0.321,0.07,1.967,0.8374,0.3892,0.344,8,0
2,0.728,0.551,0.202,1.6411,0.6022,0.4789,0.4676,19,2
1,0.113,0.08,0.018,1.9603,0.684,0.5722,0.6153,5,0
0,0.216,0.194,0.043,2.344,1.0246,0.5952,0.8617,3,0
2,0.304,0.242,0.088,0.0994,0.0537,0.0294,0.0198,5,0
1,0.616,0.524,0.225,0.9219,0.3571,0.2762,0.3302,10,1
2,0.549,0.434,0.143,2.7111,1.2302,0.7511,1.0399,10,1
2,0.383,0.271,0.126,2.6829,1.2902,0.311,0.7904,5,0
0,0.637,0.485,0.21,0.0337,0.0147,0.0062,0.0112,11,1
2,0.526,0.402,0.157,0.5709,0.2041,0.1181,0.1266,8,0
0,0.738,0.64,0.128,2.8084,1.6191,0.3505,1.083,17,2
2,0.68,0.565,0.245,1.3937,0.6545,0.3648,0.4199,10,1
1,0.262,0.198,0.06,1.6198,0.8403,0.2101,0.3127,10,1
2,0.276,0.247,0.031,0.472,0.2317,0.0834,0.1044,5,0
0,0.168,0.128,0.029,2.5276,1.5151,0.2876,0.7212,6,0
0,0.324,0.291,0.107,0.6551,0.2862,0.1342,0.1115,5,0
1,0.815,0.733,0.098,0.5376,0.2298,0.118,0.1754,18,2
2,0.375,0.277,0.054,0.6462,0.2637,0.1596,0.1082,5,0
2,0.238,0.181,0.073,2.599,1.0617,0.4364,0.7213,2,0
1,0.639,0.509,0.235,1.9868,0.7604,0.4333,0.6141,15,2
2,0.476,0.396,0.138,2.1725,1.2909,0.5362,0.7776,9,1
2,0.186,0.15,0.031,1.0668,0.5987,0.2693,0.3416,3,0
0,0.357,0.319,0.041,2.5695,1.015,0.412,0.8727,5,0
2,0.382,0.323,0.109,2.2313,0.8737,0.2533,0.8342,6,0
2,0.633,0.47,0.072,2.1217,0.7024,0.2281,0.5927,9,1
1,0.09,0.065,0.026,2.7439,1.5451,0.6959,0.971,1,0
1,0.274,0.23,0.046,1.0361,0.4264,0.1835,0.1757,6,0
0,0.458,0.335,0.17,1.7274,0.815,0.219,0.595,9,1
2,0.274,0.235,0.066,2.5716,1.4661,0.352,0.4282,6,0
2,0.54,0.412,0.09,2.2355,0.9443,0.5661,0.8504,7,0
2,0.432,0.331,0.154,1.593,0.8635,0.3501,0.317,9,1
0,0.343,0.241,0.06,0.2172,0.0932,0.0435,0.0329,6,0
0,0.777,0.653,0.149,1.8453,0.9416,0.4145,0.2666,14,2
1,0.543,0.392,0.19,1.489,0.6393,0.1898,0.2326,8,0
0,0.171,0.146,0.033,0.5221,0.2181,0.0855,0.1223,5,0
2,0.489,0.39,0.109,2.4935,1.4892,0.4359,0.6399,6,0
2,0.653,0.56,0.133,0.9713,0.4698,0.1582,0.3634,11,1
0,0.599,0.489,0.081,1.0962,0.4497,0.2991,0.2349,12,2
2,0.202,0.145,0.023,1.9009,0.7173,0.4111,0.3141,3,0
2,0.795,0.678,0.252,1.3824,0.4312,0.3399,0.4467,17,2
0,0.407,0.291,0.119,0.2541,0.1301,0.0374,0.0357,8,0
0,0.193,0.154,0.036,1.0961,0.4512,0.1675,0.403,3,0
2,0.208,0.153,0.039,0.2688,0.1469,0.039,0.0599,1,0
2,0.148,0.126,0.057,0.5407,0.2212,0.1285,0.1536,4,0
2,0.67,0.591,0.266,0.0223,0.0092,0.0038,0.0035,13,2
1,0.165,0.134,0.04,0.514,0.2743,0.093,0.0738,1,0
1,0.168,0.135,0.057,0.9352,0.4179,0.2262,0.3176,1,0
1,0.704,0.6,0.226,1.5219,0.8606,0.448,0.3484,15,2
0,0.33,0.231,0.062,2.598,1.2394,0.3439,1.0289,5,0
1,0.098,0.087,0.012,1.5279,0.5687,0.1719,0.3931,1,0
0,0.113,0.084,0.016,1.9946,0.9384,0.2772,0.7055,5,0
0,0.18,0.161,0.063,1.0121,0.3048,0.25,0.3988,1,0
1,0.233,0.197,0.074,2.1246,0.8365,0.2952,0.3917,4,0
1,0.567,0.485,0.17,1.7542,0.6357,0.3804,0.5969,13,2
1,0.191,0.159,0.027,1.3005,0.6454,0.2836,0.1386,5,0
2,0.163,0.129,0.048,0.5492,0.1872,0.0873,0.1669,1,0
1,0.641,0.522,0.213,0.8592,0.3325,0.0977,0.278,15,2
2,0.572,0.406,0.205,1.7556,0.7012,0.3157,0.427,14,2
0,0.397,0.327,0.041,1.2052,0.3628,0.1655,0.1791,10,1
2,0.481,0.397,0.147,2.5136,0.7893,0.3441,0.7164,8,0
1,0.306,0.269,0.032,0.6652,0.2616,0.136,0.2456,6,0
0,0.432,0.346,0.135,0.2084,0.0764,0.0489,0.0791,11,1
0,0.45,0.322,0.131,1.6663,0.5583,0.1918,0.5396,10,1
0,0.362,0.276,0.052,2.5042,0.8671,0.5401,0.4485,6,0
2,0.746,0.62,0.246,1.032,0.5683,0.154,0.3727,14,2
1,0.087,0.065,0.01,1.8311,0.9247,0.4297,0.6714,1,0
0,0.654,0.494,0.228,0.6555,0.2919,0.1718,0.1378,15,2
0,0.167,0.144,0.03,1.5791,0.9043,0.4128,0.2446,3,0
0,0.665,0.543,0.204,2.2239,0.6869,0.3869,0.8059,17,2
2,0.531,0.426,0.2,2.4505,0.9887,0.5231,0.8957,7,0
2,0.699,0.534,0.141,0.2989,0.1635,0.0773,0.0389,12,2
1,0.147,0.124,0.037,1.0084,0.4926,0.1131,0.3934,3,0
2,0.489,0.37,0.117,1.8084,1.0751,0.3999,0.47,14,2
0,0.446,0.378,0.066,0.1001,0.0584,0.0268,0.0399,9,1
1,0.598,0.427,0.166,1.9523,0.6852,0.3406,0.4559,10,1
0,0.47,0.41,0.152,1.4932,0.8834,0.2853,0.3882,9,1
0,0.475,0.38,0.178,0.8169,0.4768,0.1958,0.1469,8,0
2,0.393,0.31,0.14,2.3026,0.9489,0.2615,0.8512,10,1
1,0.304,0.25,0.077,0.8211,0.4884,0.1454,0.1914,8,0
2,0.432,0.356,0.136,2.8018,0.8707,0.4459,0.9649,12,2
2,0.163,0.118,0.055,2.3074,1.1496,0.2386,0.2859,1,0
1,0.787,0.67,0.195,2.0013,0.7602,0.2786,0.6734,12,2
0,0.604,0.456,0.081,0.1752,0.0594,0.0314,0.0433,12,2
0,0.78,0.687,0.18,2.5558,1.2096,0.3565,0.2597,17,2
1,0.243,0.21,0.086,2.2331,0.8752,0.4924,0.3749,7,0
0,0.726,0.558,0.203,0.6488,0.3244,0.1231,0.1026,15,2
1,0.674,0.581,0.214,1.1097,0.5127,0.1197,0.3612,15,2
1,0.576,0.444,0.09,0.7606,0.3178,0.1179,0.1849,15,2
2,0.538,0.387,0.209,2.782,0.9863,0.289,0.4115,9,1
1,0.309,0.276,0.068,2.4143,1.1598,0.4144,0.4274,9,1
2,0.679,0.564,0.201,2.629,1.4427,0.3991,0.6605,17,2
0,0.446,0.353,0.047,2.2295,1.0702,0.5298,0.2361,8,0
0,0.127,0.099,0.018,1.2907,0.6236,0.2084,0.2933,1,0
0,0.307,0.235,0.103,0.5821,0.264,0.1019,0.1766,8,0
0,0.767,0.687,0.299,0.5896,0.2456,0.1445,0.1505,19,2
2,0.705,0.512,0.138,0.4304,0.1882,0.0844,0.1203,12,2
0,0.802,0.612,0.089,1.5457,0.9226,0.3266,0.306,20,2
1,0.54,0.43,0.112,2.6,1.3647,0.6975,0.4028,9,1
1,0.258,0.205,0.027,2.8028,1.2029,0.3963,0.9611,5,0
1,0.195,0.155,0.031,0.8133,0.3556,0.2422,0.3023,2,0
2,0.213,0.157,0.069,1.9712,0.8868,0.552,0.4992,5,0
0,0.09,0.066,0.034,1.6882,0.8404,0.2656,0.3233,2,0
0,0.364,0.273,0.046,1.3828,0.6081,0.3852,0.3503,7,0
0,0.217,0.192,0.058,1.8821,0.9521,0.472,0.6845,3,0
2,0.38,0.275,0.067,1.0507,0.419,0.3007,0.323,7,0
1,0.767,0.653,0.109,2.6692,1.1296,0.6359,0.9545,15,2
1,0.394,0.335,0.065,1.9942,1.1152,0.4684,0.3959,7,0
0,0.725,0.625,0.198,2.1319,0.8499,0.2147,0.6686,14,2
1,0.523,0.459,0.063,0.6866,0.4046,0.1338,0.2032,7,0
1,0.258,0.194,0.059,0.4781,0.1682,0.067,0.1298,1,0
2,0.338,0.252,0.048,1.1156,0.4156,0.1839,0.2883,7,0
2,0.137,0.109,0.025,2.1671,0.9516,0.6409,0.5749,3,0
2,0.322,0.242,0.051,2.6532,1.4307,0.3107,0.9416,7,0
2,0.576,0.488,0.21,1.2088,0.6279,0.2955,0.4531,13,2
0,0.128,0.106,0.04,2.1882,0.771,0.2945,0.2929,2,0
2,0.227,0.199,0.082,1.3304,0.4936,0.135,0.36,4,0
1,0.357,0.256,0.077,0.8357,0.3949,0.1674,0.3138,6,0
0,0.802,0.708,0.156,2.0897,0.812,0.2763,0.2934,12,2
1,0.656,0.498,0.14,2.2561,0.9627,0.6612,0.505,14,2
1,0.618,0.493,0.065,0.5748,0.2563,0.0809,0.0728,14,2
1,0.161,0.127,0.051,0.8638,0.4131,0.1196,0.1158,5,0
2,0.653,0.556,0.134,1.3992,0.5251,0.1489,0.5194,12,2
2,0.656,0.514,0.127,0.5287,0.1845,0.0877,0.1236,12,2
0,0.52,0.462,0.145,2.625,1.1014,0.2752,0.8049,9,1
0,0.808,0.711,0.187,1.6719,0.5427,0.334,0.2369,15,2
2,0.316,0.276,0.125,0.3443,0.1577,0.0692,0.0367,2,0
1,0.772,0.551,0.16,0.5217,0.2879,0.0577,0.1915,16,2
0,0.752,0.655,0.214,2.6971,0.9054,0.3992,0.7346,17,2
2,0.083,0.071,0.016,2.0866,0.6965,0.5559,0.2212,2,0
2,0.408,0.294,0.162,2.076,0.6728,0.3996,0.8256,8,0
2,0.798,0.576,0.186,0.2067,0.1146,0.0386,0.0512,15,2
1,0.151,0.109,0.044,2.5303,0.8204,0.6067,0.6143,5,0
2,0.48,0.337,0.066,1.2551,0.7468,0.305,0.3593,9,1
2,0.799,0.647,0.256,1.865,0.76,0.4707,0.1909,14,2
2,0.486,0.435,0.088,2.7122,1.0812,0.7217,0.7343,12,2
2,0.215,0.169,0.05,0.2844,0.0931,0.0417,0.0821,6,0
0,0.506,0.409,0.185,1.3639,0.6488,0.1545,0.2579,13,2
0,0.226,0.202,0.088,0.1421,0.0676,0.025,0.0452,7,0
2,0.46,0.345,0.105,1.4127,0.6331,0.3829,0.3012,8,0
1,0.13,0.113,0.046,0.7144,0.281,0.0826,0.2253,2,0
0,0.523,0.423,0.061,2.5748,1.0571,0.5541,0.3686,12,2
2,0.457,0.372,0.162,1.1273,0.4466,0.2708,0.4217,7,0
0,0.623,0.479,0.18,1.7921,0.7667,0.3518,0.652,16,2
0,0.542,0.44,0.134,2.4315,0.9788,0.3672,0.353,11,1
1,0.482,0.344,0.177,2.7799,1.3973,0.4594,1.0606,11,1
2,0.585,0.499,0.207,1.4248,0.5539,0.1629,0.3809,12,2
2,0.182,0.138,0.034,1.2891,0.5224,0.2043,0.4003,4,0
1,0.516,0.453,0.174,0.2159,0.093,0.0235,0.076,10,1
1,0.202,0.156,0.026,0.038,0.0114,0.0093,0.0048,4,0
2,0.76,0.554,0.264,1.7213,0.7705,0.4813,0.2595,10,1
2,0.126,0.106,0.038,0.1869,0.0704,0.0424,0.035,4,0
1,0.393,0.288,0.05,1.0762,0.341,0.249,0.2617,12,2
0,0.59,0.502,0.18,0.0122,0.007,0.0024,0.0025,10,1
0,0.414,0.37,0.114,1.7394,0.6901,0.2282,0.4379,5,0
1,0.143,0.122,0.04,1.2034,0.5148,0.1222,0.1875,6,0
0,0.485,0.342,0.091,0.3607,0.1977,0.0609,0.1099,10,1
1,0.55,0.451,0.099,0.8389,0.2936,0.21,0.0979,13,2
0,0.596,0.5,0.196,1.6107,0.8941,0.4705,0.3357,13,2
0,0.351,0.304,0.062,1.8566,0.6916,0.3457,0.2854,5,0
2,0.492,0.35,0.115,1.3076,0.6233,0.2263,0.4171,12,2
2,0.409,0.326,0.126,2.2724,1.1492,0.4299,0.8296,7,0
0,0.572,0.462,0.071,0.3195,0.1826,0.0593,0.0395,10,1
0,0.507,0.372,0.141,0.2408,0.1161,0.0542,0.0808,11,1
2,0.464,0.355,0.128,0.1269,0.0553,0.0313,0.0468,10,1
2,0.26,0.205,0.079,1.5152,0.7147,0.3894,0.5942,6,0
2,0.076,0.066,0.016,1.9964,0.72,0.459,0.5466,2,0
1,0.204,0.181,0.048,0.3706,0.1878,0.0695,0.0735,6,0
0,0.162,0.134,0.032,1.8064,0.6432,0.5239,0.3551,6,0
2,0.407,0.317,0.139,1.3489,0.6302,0.3267,0.2882,9,1
0,0.528,0.396,0.073,2.7903,1.3792,0.5171,0.7919,13,2
1,0.233,0.209,0.091,2.0281,1.1552,0.384,0.5011,7,0
1,0.77,0.69,0.224,1.8587,0.8086,0.4899,0.5503,17,2
2,0.08,0.071,0.029,1.613,0.8591,0.3034,0.1803,1,0
1,0.647,0.555,0.147,2.8186,0.9872,0.5729,0.3714,15,2
0,0.538,0.412,0.107,2.7708,0.9611,0.4386,1.0888,12,2
2,0.351,0.303,0.13,1.5216,0.696,0.4075,0.6065,4,0
0,0.112,0.088,0.015,1.2874,0.6165,0.2632,0.4171,1,0
0,0.539,0.413,0.073,1.307,0.64,0.2751,0.2312,8,0
1,0.36,0.306,0.068,1.2116,0.6345,0.3346,0.4677,5,0
1,0.768,0.55,0.298,1.5027,0.5838,0.4269,0.2466,13,2
1,0.476,0.338,0.138,0.7746,0.3771,0.2051,0.2474,11,1
1,0.77,0.608,0.205,2.6193,0.9336,0.2962,0.3525,16,2
1,0.238,0.188,0.074,1.3864,0.507,0.2616,0.4085,7,0
2,0.612,0.538,0.138,2.3798,0.762,0.4014,0.7802,10,1
0,0.532,0.386,0.174,1.3443,0.7045,0.1918,0.4811,8,0
0,0.622,0.451,0.136,2.0305,0.918,0.5722,0.6504,11,1
0,0.234,0.171,0.081,0.9534,0.3541,0.2651,0.3595,6,0
0,0.567,0.4,0.102,1.7665,0.8247,0.341,0.4527,13,2
1,0.444,0.317,0.081,1.4094,0.5726,0.1789,0.4274,8,0
0,0.625,0.52,0.16,1.0387,0.5725,0.1066,0.219,13,2
2,0.317,0.249,0.073,2.4915,1.1422,0.4676,0.2569,5,0
2,0.734,0.626,0.216,0.3203,0.099,0.0346,0.1047,13,2
0,0.137,0.123,0.029,1.3771,0.8201,0.3056,0.4971,4,0
0,0.672,0.559,0.114,0.5509,0.1775,0.1221,0.0838,15,2
2,0.712,0.506,0.172,2.4336,1.2382,0.6809,0.2643,18,2
2,0.68,0.49,0.182,0.7178,0.3095,0.0991,0.1072,12,2
1,0.454,0.398,0.065,1.7908,0.6712,0.3121,0.6601,7,0
2,0.399,0.321,0.107,0.4696,0.2362,0.1277,0.0886,7,0
1,0.812,0.702,0.159,1.1455,0.3869,0.2232,0.1949,17,2
1,0.245,0.213,0.053,2.5418,1.417,0.2845,0.2653,9,1
1,0.48,0.425,0.088,0.471,0.1767,0.0575,0.0891,10,1
1,0.571,0.508,0.217,1.8749,0.7658,0.4925,0.59,10,1
1,0.594,0.482,0.181,0.5795,0.2838,0.1441,0.2247,10,1
0,0.226,0.174,0.04,1.1761,0.3532,0.3236,0.228,3,0
2,0.559,0.499,0.164,1.5287,0.6754,0.1892,0.2633,12,2
1,0.681,0.551,0.241,1.6323,0.9276,0.4115,0.5981,15,2
2,0.112,0.08,0.025,1.7035,0.8588,0.3935,0.606,3,0
2,0.75,0.621,0.262,1.8097,0.7535,0.265,0.3591,14,2
1,0.097,0.079,0.014,0.7695,0.3833,0.2268,0.0928,1,0
0,0.338,0.297,0.117,1.1355,0.6597,0.2431,0.4515,8,0
1,0.087,0.072,0.023,0.1074,0.0383,0.0302,0.0327,1,0
0,0.132,0.102,0.022,2.173,0.9986,0.5907,0.8213,2,0
2,0.749,0.669,0.166,2.366,0.8764,0.3942,0.4793,13,2
0,0.338,0.291,0.134,0.5646,0.3141,0.117,0.1662,4,0
0,0.389,0.321,0.13,0.5709,0.2948,0.1063,0.1726,11,1
0,0.234,0.178,0.064,0.1207,0.0652,0.0292,0.0437,3,0
2,0.517,0.401,0.07,2.7424,1.5986,0.5968,1.0912,6,0
2,0.515,0.43,0.116,2.2815,0.8435,0.5863,0.3025,11,1
0,0.35,0.25,0.063,1.0206,0.3211,0.1045,0.2953,7,0
0,0.321,0.241,0.039,1.3629,0.5278,0.3238,0.2739,3,0
1,0.73,0.615,0.192,0.8265,0.3469,0.1354,0.2839,17,2
0,0.359,0.286,0.132,1.6886,0.8233,0.2446,0.5509,9,1
1,0.44,0.343,0.133,2.0277,1.0936,0.5277,0.7457,10,1
0,0.285,0.208,0.05,1.2654,0.5124,0.1491,0.257,6,0
1,0.657,0.518,0.179,2.469,1.0914,0.3597,0.3836,11,1
2,0.369,0.315,0.141,1.4621,0.7832,0.2058,0.1558,7,0
0,0.455,0.343,0.144,0.4094,0.1505,0.0753,0.0723,8,0
0,0.262,0.184,0.08,1.7594,0.6424,0.2894,0.3697,4,0
0,0.806,0.672,0.315,1.3073,0.6233,0.3191,0.5018,19,2
0,0.291,0.26,0.099,2.6443,1.1392,0.6343,0.6542,4,0
1,0.645,0.53,0.091,1.1087,0.6482,0.183,0.2959,12,2
0,0.391,0.283,0.08,1.1397,0.464,0.2136,0.4149,8,0
2,0.228,0.174,0.089,1.8398,0.9712,0.2605,0.6725,5,0
2,0.667,0.583,0.165,1.4902,0.7077,0.349,0.385,17,2
0,0.322,0.24,0.043,1.0594,0.3352,0.1899,0.1421,6,0
2,0.715,0.587,0.17,2.7971,0.9099,0.354,0.5067,15,2
0,0.752,0.587,0.232,0.8554,0.3088,0.1073,0.2028,13,2
0,0.711,0.527,0.284,0.7857,0.2695,0.1292,0.2556,15,2
2,0.101,0.087,0.02,2.4431,0.9743,0.6095,0.7659,6,0
0,0.658,0.558,0.167,0.0115,0.0054,0.0012,0.0034,12,2
2,0.379,0.315,0.138,0.5703,0.2741,0.0864,0.2076,9,1
1,0.722,0.54,0.149,1.6694,0.7952,0.2212,0.5689,12,2
0,0.547,0.394,0.073,0.4608,0.1545,0.1342,0.1818,10,1
1,0.692,0.564,0.266,2.7859,1.3374,0.6716,1.0217,13,2
2,0.445,0.361,0.11,1.3129,0.5553,0.1925,0.2084,10,1
1,0.471,0.347,0.118,1.689,0.9643,0.239,0.1981,9,1
1,0.182,0.129,0.052,0.4549,0.2609,0.1236,0.1021,6,0
2,0.655,0.469,0.066,0.8192,0.4345,0.1131,0.2337,12,2
1,0.385,0.346,0.146,1.7377,0.8878,0.5203,0.509,9,1
1,0.445,0.381,0.093,1.5539,0.5198,0.2431,0.2801,9,1
2,0.656,0.58,0.144,2.217,0.7214,0.2591,0.7936,11,1
1,0.518,0.383,0.079,0.7623,0.421,0.1816,0.1515,6,0
